trackingnum,borough,cd,commdist,type_br,type,priority,agencyacro,agency,need,request,explanation,sitename,address,streetsegment,streetcross1,streetcross2,supporters1,supporters2,parent_tracking_code,agyresponsecat,agyresponse,unique_id,geo_function,geom
401202428C,4,01,401,C, ,28,DPR,846,FDNY programs and staffing,"Enhance park safety through design interventions, e.g. better lighting","Resurfacing of the entire Promenade at Hallets Cove in front of Astoria Houses due to deterioration. The promenade which is highly utilized by residents, visitors and NYC Ferry users is in dire need of resurfacing due to sink holes cracks sinking basins and saltwater deterioration. The entire length of the promenade has not been addressed in decades and with the growth of our community this has become a safety issue. Residents fish, picnic,stroll and socialize at the waterfront. Astoria Landing is found at Astoria Point, alongside the New York City Housing campus. The Astoria Houses consist of 24 buildings and is a 1.14 million square foot lot, in CD1. These factor makes the promenade a highly transverse/utilized area in our district which warrants the repair.",,Astoria Houses Esplanade 11102,Astoria Houses Esplanade 11102,,,,,,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,2767,1B,0104000020E6100000010000000101000000992A1895D47B52C0E0641BB803634440
401202435C,4,01,401,C, ,CS,EDC,802,Street and lot cleaning,Other capital budget request for EDC,EDC - Waterfront area is deteriorated and cleanup of the area is necessary.,Queensbridge Radio Tower Area;,Vernon Boulevard & 36th Avenue,Vernon Boulevard 36th Avenue,,,,,,8,More information is needed from the community board before making a funding decision. The community board should contact the agency.,2781,Intersection-1,0104000020E6100000010000000101000000B70DAD6F517C52C08AEFB40689614440
401202447E,4,01,401,E, ,47,EDC,802,Affordable housing programs,Other expense budget request for EDC,A study to implement a shuttle bus from the NYC Ferry Landing in Astoria to the business districts of CD1. This area of our community can shuttle ferry users to small businesses and restaurants in our district who have been economically impacted. It could bring financial aid to the area. The service would also provide additional transportation in a transit desert.,NYC Ferry Landing;,"Astoria Houses, Astoria NY 11102","Astoria Houses, Astoria NY 11102",,,,,,8,More information is needed from the community board before making a funding decision. The community board should contact the agency.,2802,1B,0104000020E6100000010000000101000000992A1895D47B52C0E0641BB803634440
402202408C,4,02,402,C, ,08,DPR,846,NYPD staff and training resources,"Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",Study feasibility of creating a bike/pedestrian greenway and park benches in Blissville along Review Avenue between Laurel Hill (Kosciuszko Bridge) and the Greenpoint Avenue Bridge. DOT-484255-K7Q6,,Bradley Ave,Bradley Ave,Van Dam St,Van Dam St,,,,7,The Department of Parks and Recreation does not maintain this facility.,2823,Intersection-4,0104000020E6100000010000000101000000B7EC4476E17B52C073251AF5515E4440
402202413C,4,02,402,C,street,13,DEP,826,"Park, buildings, and access improvements",Other capital budget request for DEP,Reconstruct 61st Street from 39th Avenue to 37th Avenue including sewers and catch basins.,,61st Street,61st Street,39th Avenue,39th Avenue,,,,8,Further study by the agency of this request is needed.,2833,Intersection-4,0104000020E6100000010000000101000000D7302271C57952C018ABD8E9A35F4440
402202417C,4,02,402,C, ,17,DPR,846,Zoning and land use,"Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",Complete the planned park in the Blissville Community. Study feasibility of creating a bike/pedestrian greenway and park benches along review avenue between Laurel Hill (Kosciuszko Bridge) and the Greenpoint Avenue Bridge. DOT-484255-K7Q6,,Bradley Avenue,Bradley Avenue,Van Dam Street,Van Dam Street,Blissville Civic Association,,,7,The Department of Parks and Recreation does not maintain this facility.,2841,Intersection-4,0104000020E6100000010000000101000000B7EC4476E17B52C073251AF5515E4440
402202422C,4,02,402,C, ,22,DOT,841,NYPD staff and training resources,Reconstruct streets,Request full reconstruction of the service roads from Queens Blvd from 73rd Street to 48th Street.,,Queens Blvd,Queens Blvd,69th St,69th St,,,,1,This project was funded in a prior fiscal year and the preliminary design contract has been let.,2851,Intersection-4,0104000020E61000000100000001010000002BFE7AA0557952C02194B53FC15E4440
402202425C,4,02,402,C, ,25,DOT,841,Other Transit Needs,Reconstruct streets,"Reconstruct Vernon Blvd at street end  near 53rd Avenue and Newtown Creek, as the roadway is collapsing. Provide public pedestrian waterfront access at site similar to Brooklyn right across Newtown Creek.",,Vernon Blvd,Vernon Blvd,53rd Ave,53rd Ave,,,,1,Project has been completed; please remove from future Budget Requests.,2857,Intersection-4,0104000020E6100000010000000101000000D136D4EE197D52C0BFC0D8C0CC5E4440
402202452C,4,02,402,C, ,52,DOT,841,Affordable housing programs,Reconstruct streets,"Reconstruct Barnett Avenue between 48th Street and 52nd Streets to include catch basins, sidewalks, on both sides of the street and retaining walls.",,Barnett Ave,Barnett Ave,48th St,48th St,,,,8,Please contact the Borough Commissioner's office to discuss this request.,2901,Intersection-4,0104000020E610000001000000010100000026DDE3FD957A52C0D7F04CAB03604440
402202446C,4,02,402,C, ,46,DOT,841,Schools and educational facilities,Repair or construct new curbs or pedestrian ramps,Request sidewalk installation on Hicks Drive between 63rd Street and 64th Street.,,Hicks Dr,Hicks Dr,63rd St,63rd St,community board 2,,,6,This request falls under the property owner's responsibility and is not under the City's jurisdiction. Please withdraw this request from future submissions.,2895,Intersection-4,0104000020E6100000010000000101000000360CFA2EB27952C026ACE7A33B5F4440
403202413C,4,03,403,C, ,13,DOT,841,Economic development investments,Other transportation infrastructure requests,Conduct a traffic study of the entrance to the Whitestone at 114th Street and Astoria Blvd.,,114th Street & Astoria Blvd.,Street Astoria Blvd.,,,,,,8,Please contact the Borough Commissioner's office to discuss this request.,2924,Intersection-1,0104000020E61000000100000001010000000468E8A3C37652C0A02F7AEB16614440
403202414C,4,03,403,C,general,14,DOT,841,Early care and educational programs,Upgrade or create new greenways,"Request: Beautify the center mall on Astoria Boulevard.     Explanation: Plant Shrubs & trees along the Center Mall from 82 Street to 114 Streets  at Astoria Boulevard to increase greenery and beautify the community. Most importantly, improve conditions so that pedestrians may safely access Astoria Boulevard. Provide funding to a not-for-profit organization such as the Botanical Gardens to maintain the greenery.",,Astoria Blvd,Astoria Blvd,82 Street,82 Street,,,,8,Please contact the Borough Commissioner's office to discuss this request.,2926,Intersection-4,0104000020E61000000100000001010000002007BF18C67852C09FAC7AF7EB614440
403202416C,4,03,403,C, ,16,DPR,846,Direct business services,"Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","Develop unused property fronting the entrance to the GCP and 94th Street for a dog park/sitting area.  There is no facility in the immediate area. 

Explanation: Residents in this area would like to have a dog park developed on the unused property fronting the entrance to the Grand Central Parkway and 94th street. There is no facility in the immediate area.",,94 Street and Ditmars Boulevard,Street and Ditmars Boulevard,,,,,,7,Further study by the agency of this request is needed.,2930,Intersection-1,0104000020E6100000010000000101000000C0DF03B6107852C0CBBAE6E29A624440
403202417C,4,03,403,C, ,17,DOT,841,Sewage and flooding,Repair or build new step streets,"Redesign Step Street at Butler/Ditmars Blvd. and 25th Ave.  Explanation:  The 25th Ave step street could use a face-lift, which would entail improved lighting, seating areas, pruning and planting of additional greenery. The proposed enhancements would attract more users of this important public space.",,25 Avenue and Butler Street,Avenue and Butler Street,,,,,,7,DOT regularly surveys step streets for repairs or capital projects if beyond repair. DOT regularly partners with DSNY on clean-up programs and scheduled cleanups.,2932,Intersection-1,0104000020E61000000100000001010000007BD8AFFD6C7752C0F9C7A2831C624440
403202419C,4,03,403,C,site,19,DPR,846,FDNY facilities and equipment,"Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",Upgrade and Expand Veterans Memorial Park (32nd Ave & 94th Street) sitting area to a recreational space for children and adults.,Veterans Plaza;,32 Ave and 94 Street,Ave and 94 Street,,,,,,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,2936,Intersection-1,0104000020E6100000010000000101000000610B7FFEF77752C08BBEE49E19614440
403202426C,4,03,403,C,site,26,DPR,846,Cultural facilities and resources,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Upgrade Gorman Park.

Explanation: Gorman Park has received funding for the rehab of the playground.  In FY2021 provide funding for phase 2. Upgrading the volleyball, basketball, and handball courts.",Gorman Playground;,84th Street and 25th Avenue,84th Street 25th Avenue,,,,,,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,2947,Intersection-1,0104000020E610000001000000010100000091DE79B6A17852C07A814227B2614440
408202412E,4,08,408,E,street,12,DPR,846,Environmental protection,Other park programming requests,Funding and maintenance of Brinkerhoff Memorial Cemetery. DCAS and DPR are in the process of acquiring this site for preservation through ULURP Application#: C180241 PCQ.,,69-65 182nd Street,182nd Street,,,,,,4,"This is a Department of Parks and Recreation project with prior, current, and/or expected future year commitments. Contact the agency for specifics.",2982,1B,0104000020E610000001000000010100000055185B08727252C0451152B7B35D4440
405202403C,4,05,405,C,site,03,DOT,841,Park maintenance and safety,Rehabilitate bridges,"CORRECT COOPER AVENUE UNDERPASS FLOODING, RECONSTRUCT THE LIRR AND 71st AVENUE BRIDGE ABUTMENTS ABOVE THE COOPER AVENUE UNDERPASS AND PAINT THE LIRR BRIDGE
 
 The Cooper Ave Underpass is located on Cooper Ave at approximately 76 St. Reconstruction of the Cooper Avenue Underpass Retaining Walls has been completed (RWQ005), at a cost of more than $6 million. Unfortunately, this retaining wall project did not solve the problem of this low part of Cooper Avenue flooding during rainstorms, did not include reconstruction of the bridge abutments, or painting the LIRR bridge. There is a city vehicular bridge and an LIRR Montauk Line Bridge above Cooper Avenue, in the area of 76 Street, in Glendale. The LIRR bridge is a rusted eyesore and needs to be repainted.",71st Avenue and LIRR Bridges;,Cooper Avenue at 76 Street,Avenue at 76 Street,,,Glendale Property Owners Assoc.,Middle  Village Property Owners Assc.,,6,More information is needed from the community board before making a funding decision. The community board should contact the agency.,2970,Intersection-1,0104000020E6100000010000000101000000A1EEEB38F87752C04C4D0B27835A4440
408202412C,4,08,408,C,site,12,DOT,841,"Park, buildings, and access improvements",Reconstruct streets,"Goethals Ave is partially built. As one travels eastbound along Goethals Avenue, the road narrows. It was not not built to its fully mapped width and a portion of the street has vegetation instead of asphalt.",,Goethals Ave,Goethals Ave,168 Street,168 Street,,,,5,"Funds are unavailable for this project.  We recommend this project be brought to the attention of your elected officials, i.e. Borough President, Council/Assemblymember, or State Senator.",2981,Intersection-4,0104000020E6100000010000000101000000EDC07406237352C0D2FF7F5E2E5C4440
403202438C,4,03,403,C,street,CS,DOT,841,Sanitation Enforcement,Reconstruct streets,"Request: Resurface Streets in Community Board 3.    Explanation: Resurface Junction Blvd. between Northern and Roosevelt Avenues, 37th Ave from Junction Blvd. to 114th Street, 82nd Street from Roosevelt Ave to the BQE, Roosevelt Ave from 114th to 69th Streets and Astoria Blvd. from 69th to 114th Streets.",,86th Street,86th Street,25th Avenue,25th Avenue,,,,8,"Resurfacing and milling requests should be directed to the respective NYCDOT Borough Directors of Maintenance.  Each year, the boroughs plan the next season's resurfacing.",2988,Intersection-4,0104000020E610000001000000010100000034F1733F837852C07F155191B8614440
404202405C,4,04,404,C, ,05,DPR,846,FDNY facilities and equipment,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Sparrows Nest Community Garden is a garden in Corona that is in need of drastic infrastructural improvements. The garden is maintained to the best of the ability of local residents, but flooding along the property entrance and throughout the garden is commonplace.  There is a lack of power, a proper water source, viable drainage systems, etc.  Requests for funding have been incessantly ignored,  and despite full awareness on behalf of our Elected officials via garden tours, and discussions, the garden remains underfunded and overall ignored.",Sparrow;,5401 101 Street,101 Street,,,,,,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,3000,1B,0104000020E610000001000000010100000085949F54FB7652C0C68A1A4CC35E4440
404202417C,4,04,404,C, ,17,DOT,841,Schools and educational facilities,Reconstruct streets,"The portion of the Queens Blvd Service Roads under the LIE overpass, extending from Woodhaven Blvd to Eliot Ave (and, technically, from 59th Ave to the Horace Harding Expwy on the North Service Road) is badly cracked and potholed and requires resurfacing. We are aware that DOT is planning a major capital reconstruction of the whole of Queens Blvd, but we believe that this short stretch is so badly damaged that it requires immediate, interim repair.",,Queens Boulevard,Queens Boulevard,Woodhaven Boulevard,Woodhaven Boulevard,,,,7,Please contact the Borough Commissioner's office to discuss this request.,3024,Intersection-4,0104000020E61000000100000001010000000C6AF521B47752C0C819113DE35D4440
404202411E,4,04,404,E, ,11,DSNY,827,Cultural facilities and resources,Increase enforcement of illegal posting laws,"There has been a rise in illegal postings on street lights, utility poles, walls, parking meters, and construction fences. Many of these posts advertise illegal dwellings and illegal activities. This is particularly bad on Roosevelt Avenue between 72nd St and 114th St. We believe enforcement and patrolling of these sites by DSNY Enforcement to stop the individuals who post these signs is the solution. We want to emphasize this need and specific culprits because many local businesses and home owners are trying their best to clean these but need our support.",,Roosevelt Ave,Roosevelt Ave,72nd St,72nd St,,,,2,This program is currently funded and the Department of Sanitation recommends its continued support.,3013,Intersection-4,0104000020E610000001000000010100000064CF4391307952C002E8674D915F4440
404202416C,4,04,404,C, ,16,DPR,846,Services for vulnerable New Yorkers,Reconstruct or upgrade a building in a park,"Newtown Playground recently underwent a partial upgrade, and has since seen substantial use, and improved visitation since its opening. A key element of the park that is in is need of repair is the comfort station. While the existing building does in fact house such a station, there is an issue with power, and infrastructure needed to reopen the facilities.  Additionally, the MPPA  should be upgraded to meet current standards, and retrofitted with flooding mitigation measures as it was heavily damaged during this last hurricane season.  The park (formerly the Old Newtown Cemetery) should have historical signage and/or a monument to memorialize its past. Specifically requesting that an archaeologist be on site any renovations/excavating.",Newtown Playground;,92nd Street and 56th Avenue,92nd Street 56th Avenue,,,,,,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,3022,Intersection-1,0104000020E6100000010000000101000000E7202A9AAF7752C09541A857465E4440
404202418C,4,04,404,C,site,18,DPR,846,NYPD facilities and equipment,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Requesting funding be allocated for the renovation of Triangle 90 (90th Street and Roosevelt Avenue) which is located at an intersection along Roosevelt Avenue with no green space, but that sees substantial  community interest and foot traffic due to its proximity to the MTA Elmhurst/Roosevelt Avenue station. 
This space is within very close proximity to Answer Triangle (Aske Street and Roosevelt Avenue), and should be funded for infrastructural upgrades and beautification via greenery, seating, and improved lighting.",Triangle 90;,90th St and Roosevelt Ave,90th St Roosevelt Ave,,,,,,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,3026,Intersection-1,0104000020E61000000100000001010000006C36323D187852C06E5D681ACC5F4440
404202421C,4,04,404,C, ,21,DOT,841,Senior center programs,Repair or provide new street lights,"This stretch of road along the corridor of Roosevelt Avenue doesn't see the same number of commercial establishments and pedestrian traffic as 74th to 103rd Street, and is comprised of several 2 family homes. This section of the district is in need of infrastructural improvements geared around safety. As such, we are requesting that additional lighting be implemented along this high crime section of the corridor.",,Roosevelt Avenue,Roosevelt Avenue,108 Street,108 Street,,,,7,Please contact the Borough Commissioner's office to discuss this request.,3032,Intersection-4,0104000020E61000000100000001010000008F4EB000F67652C0C734788617604440
404202429E,4,04,404,E,site,29,DEP,826,"Park, buildings, and access improvements","Evaluate a street segment or intersection for green infrastructure, e.g. rain gardens, stormwater greenstreets, and plan for construction if feasible","This section of 111th Street has been a topic of discussion for close to 2 decades, but has not undergone an infrastructural improvement.  The adjacent school (PS28), and the newly implemented STEM school located at the Hall of Science will see thousands of students crossing these dangerous intersections. While we understand that a capital sewer project isn't necessarily possible due to fiscal constraints, a study to evaluate this corridor for green infrastructure is sorely needed.",,111th Street,111th Street,44 Avenue,47 avenue,,,,7,Further study by the agency of this request is needed.,3049,Intersection-4,0104000020E61000000100000001010000004A0F84A3AF7652C06523B43FDD5F4440
404202430C,4,04,404,C,site,30,DOT,841,"Park, buildings, and access improvements",Repair or provide new street lights,"In recognition of the historical significance of the Elmhurst community, we are requesting that street lights serving Broadway from 74th Street to Queens Boulevard be replaced with ""Type M Luminaire & Pole"", which were first introduced in 1908 and designed to light wide street corners.",,Broadway,Broadway,74 Street,Queens Blvd.,,,,4,"Standard street lights can only be replaced if the request is accompanied by funding to cover all equipment, construction, and additional electrical costs and a Maintenance Agreement is signed with a City Chartered organization willing and able to pay for the associated maintenance cost-i.e. Business Improvement District.",3050,Intersection-4,0104000020E6100000010000000101000000303C9A8E0C7952C0E8AE64F4915F4440
404202445C,4,04,404,C, ,CS,DPR,846,FDNY programs and staffing,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","85th Street abuts MTA /LIRR property. Green infrastructure is sorely needed in this area.  DEP has already conducted studies to consider this location for green infrastructure, and has in fact identified it as a potential site.  Seeking implementation and completion of this long awaited  / approved project.",,85 Street,85 Street,55th Road,55th Road,,,,7,The Department of Parks and Recreation does not maintain this facility.,3064,Intersection-4,0104000020E6100000010000000101000000E0C75BFC4A7852C00F28A42DB35D4440
405202406C,4,05,405,C, ,06,DOT,841,Sanitation Enforcement,Reconstruct streets,"RECONSTRUCT PALMETTO STREET FROM SAINT NICHOLAS AVENUE TO SENECA AVENUE, AND FROM ONDERDONK AVENUE TO FOREST AVENUE IN RIDGEWOOD
 
 Palmetto Street serves as an important local artery, especially for numerous bus lines that take passengers to and from the Myrtle and Wyckoff Avenues Transit Hub. Engineered resurfacing at a minimum is needed along Palmetto Street, from St. Nicholas Avenue to Seneca Avenue, as the roadway is in disrepair. Street conditions are complicated by the fact that the pillars supporting the elevated ""M"" Train are located in the bed of the roadway.",,Palmetto Street,Palmetto Street,Saint Nicholas Avenue,Forest Avenue,Ridgewood Local Development Corp.,Ridgewood Property Owners and Civic Association,,7,Please contact the Borough Commissioner's office to discuss this request.,3078,Intersection-4,0104000020E6100000010000000101000000526F03613C7A52C04C89FE75AD594440
405202407C,4,05,405,C, ,07,DOT,841,Transportation infrastructure,Repair or construct new curbs or pedestrian ramps,"RECONSTRUCT SIDEWALKS, CURBS AND PEDESTRIAN RAMPS ALONG MYRTLE AVENUE, FROM FRESH POND ROAD TO WYCKOFF AVENUE, IN RIDGEWOOD
 
 Sidewalks, with brick pavers, along Myrtle Avenue in Ridgewood have deteriorated causing tripping hazards. One of the main problems has been tree roots lifting the bricks and the sidewalk flags. The last major improvement was in 1984/1985. This section of Myrtle Avenue receives extensive pedestrian traffic with people from Ridgewood and nearby communities shopping on Myrtle Avenue. Funding is needed to physically improve safety conditions along this section of Myrtle Avenue.
 There may also be a need to replace the main city sewer and water main in this section of Myrtle Avenue.",,Myrtle Avenue,Myrtle Avenue,Fresh Pond Road,Wyckoff Avenue,Myrtle Avenue Business Improvement District,Ridgewood Local Development Corporation,,2,The agency will try to accommodate this issue within existing resources.,3080,Intersection-4,0104000020E61000000100000001010000007F2E1BB7407952C05F9F6DC7B3594440
405202416C,4,05,405,C, ,16,DPR,846,Street trees and forestry services,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","RECONSTRUCT DRY HARBOR PLAYGROUND - PHASE 2, TO ALSO INCLUDE NEARBY TUNNEL AND PATHWAYS INTO FOREST PARK
. 
 This City park is located on Myrtle Ave at 80 St, and is the only park for eastern Glendale. This Phase 2 request is for the rehabilitation of the asphalt softball field, and the park house/ bathrooms rehabilitation; and improved fencing around the children's playground. The reconstruction of the children's playground is completed. Funding is also needed to rehabilitate the tunnel and bicycle path under the Jackie Robinson Pkwy, and the connecting bicycle/golf cart pathway to its easterly connecting point of Forest Park Dr. 
Drainage, signage and lighting improvements are important along these pathways.",Dry Harbor Playground;,Myrtle Avenue at 80 Street,Avenue at 80 Street,,,Glendale Property Owners Association,,,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,3095,Intersection-1,0104000020E61000000100000001010000004D65D24B917752C08015B2EEFA594440
405202421C,4,05,405,C,street,21,DOT,841,Transportation infrastructure,Other transportation infrastructure requests,"IMPROVE THE MYRTLE AVENUE COMMERCIAL STRIP, FROM FRESH POND ROAD TO 82 ST. IN GLENDALE 
 Improvements needed include: replacement of damaged curbs and sidewalks, including traffic facilitation and pedestrian safety upgrades.",,Myrtle Avenue,Myrtle Avenue,Fresh Pond Road,82 Street,Ridgewood Local Development Corp.,Glendale Chamber of Commerce,,2,Please contact the Borough Commissioner's office to discuss this request.,3105,Intersection-4,0104000020E61000000100000001010000007F2E1BB7407952C05F9F6DC7B3594440
406202424E,4,06,406,E,site,24,DPR,846,"Park, buildings, and access improvements",Other park maintenance and safety requests,New garbage cans at Horace Harding Playground basketball court. Trash cans at this playground are deteriorating and few.,Horace Harding Playground;,62 Dr and 98 St,62 Dr 98 St,,,,,,3,The agency will try to accommodate this issue within existing resources.,3168,Intersection-1,0104000020E610000001000000010100000046208A69087752C0432ABF01D35D4440
407202425C,4,07,407,C,site,25,NYCTA,998,FDNY facilities and equipment,"Improve accessibility of transit infrastructure, by providing elevators, escalators, etc.","Improve accessibility of transit infrastructure, by providing elevator, escalators, at the #7 Subline. Provide access to Prince Street to include an exit into 39-07 Prince Street.  Board #7 passed a zoning change that in the near future, downtown Flushing will see an insurgence of new development west of Main Street.  Recently a developer made a commitment that if the mezzanine were extended west they would allow and entrance/exit into this building. MTA we are moving forward with our planned project to increase customers capacity at Flushing Main Street 7-Line station.  MTA  At this time there are no plans to expand mezzanine area at Main St. or Prince St.. New stairwell project at Main St. & Roosevelt Ave. in progress with monthly updates  (2014)",,39-07 Prince St,Prince St,,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,3219,1B,0104000020E6100000010000000101000000982F2FC03E7552C0E42D573F36614440
408202407C,4,08,408,C, ,07,DPR,846,Traffic and traffic flow,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Reconstruct pond. Add a new aerator system at Captain Tilly Park for the goose pond. [Part of FY 2023 tracking code 408202009C] Build new cement borders and/or add pavers,",,165th Street,165th Street,Highland Avenue,Highland Avenue,Hillcrest Estates Civic Association,,,1,This Parks project was funded in a prior fiscal year and the scope is now underway.,3241,Intersection-4,0104000020E610000001000000010100000062DA82F01D7352C022C926FAF65A4440
408202420C,4,08,408,C,site,20,DOT,841,"Park, buildings, and access improvements",Repair or construct new curbs or pedestrian ramps,New sidewalk is needed on north side of Goethals Avenue from 168th Street to 170th Street. Area abuts NYC property. Sidewalk is needed for pedestrian safety.,,Goethals Avenue,Goethals Avenue,168th Street,168th Street,,,,3,"Funds are unavailable for this project.  We recommend this project be brought to the attention of your elected officials, i.e. Borough President, Council/Assemblymember, or State Senator.",3264,Intersection-4,0104000020E6100000010000000101000000EDC07406237352C0D2FF7F5E2E5C4440
